Name,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CAA 1995,0,0,0,0.524317945,1.421222554,8.847664727,16.24065055,14.98701796,13.66488427,13.8118265,9.897503559,9.197367431,6.625028844,5.418160153,4.468687329,3.357295401,2.218622405,3.619809155,2.670145284,2.750566088,2.519374465,1.971399394,1.180887181,0.880071605,1.867624933,1.429157339,1.317434865,0.551881483,1.184522973,0.449444173,0.545897513,0.243243478,0.284989677,0.475417892,0.292950106,0.382431624,0.285493035,0.295868773,0.039589608,0.1052706,0,0.132972602,0.229741052,0.04628771,0.045468137,0,0.134230335,0.037075235,0,0,0,0.028506987,0,0.037928209,0,0.053960583,0,0,0.053960583,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1996,0,0,0,0.235962036,1.308972743,6.528381421,11.41976741,17.75446735,17.15213866,17.32054503,13.59444953,10.21859015,7.077165429,5.41908017,3.566436461,3.857884692,1.586328919,2.636495204,2.016220795,3.000914438,1.712040418,2.247979328,1.215028133,1.59149456,1.49819454,1.662673958,1.015827032,0.899040526,1.360231865,0.472579688,0.43716328,0.98061406,0.199139643,0.343432111,0.261498688,0.46216267,0.493952779,0.679799711,0.01990784,0.299561572,0.264684277,0.097122204,0.114532502,0.017784762,0.036422077,0.111952656,0.01748573,0.135675093,0,0.060740432,0,0,0.01748573,0.048147195,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1997,0,0,0,0.061521968,3.760049476,13.20329128,7.032785032,11.40229816,10.8404142,12.91316707,10.18075175,7.233451766,4.807651114,15.82849339,13.35689762,14.17561524,7.449956665,5.003335918,2.749394667,7.969525142,4.401406161,1.273958153,1.985354482,2.834254585,2.315808492,1.134311619,1.592389746,0.6680099,0.78506331,2.752104177,0.070860647,1.265045207,0.08872108,0.152042196,0.0494055,0.817403471,0.211040009,0.137442183,0,0.007942495,0.136294771,0.040452387,0,0,0.334327096,0,0,0.05972194,0,0.007942495,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1998,0,0,0.529032062,0.812416693,3.739752614,13.26367249,20.20199325,20.48672152,32.89193261,27.39779784,21.32903036,13.34741396,8.181136994,7.584366626,5.904838252,4.345149443,2.651715952,4.312376685,2.892837125,2.01597081,1.621871795,2.354415814,1.702809164,0.789720489,1.184833655,0.762951975,0.925746504,0.959889868,0.849892359,0.594481895,1.631884188,0.493893779,0.181010883,0.30191865,0.110745771,0.610985436,0.336956985,0.037659902,0.145431004,0.064221564,0.102857534,0.046403691,0,0,0.177481948,0.02819008,0,0,0.02819008,0.02819008,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1999,0,0,2.69024466,2.440929271,5.783734002,11.27069427,14.49056112,14.21647769,20.81732499,29.70667764,29.69285381,17.60029129,14.21318404,9.491287561,8.668566563,5.63703453,4.958314341,3.90228814,3.885519934,3.176589677,3.194552418,2.434800688,1.324969093,0.875288387,3.403843476,0.7581851,0.511237528,0.981659894,0.220868465,0.745540696,1.50112544,0.035664946,0.162859397,0.111698038,0.147347726,0.060413132,0,0,0.419036177,0.113094148,0.239520514,0.101529292,0,0,0,0,0,0,0,0.039510643,0.062892286,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2000,0,0.031793913,0.690383366,1.186648753,2.714959556,6.72841705,12.47762665,14.68815915,22.57256537,18.51250011,16.14693597,18.28099428,13.10452462,7.369425732,5.348101097,5.704600992,3.868343428,3.838063467,2.187229982,2.925012028,5.013940262,2.977438591,1.80463802,1.664489663,1.552618964,1.320246801,0.734779687,1.118197409,0.937131239,0.883926609,1.141324929,0.323926175,0.649839761,0.451635523,0.438763351,1.196368486,0.199999835,0.565032306,0.48010049,0.101238366,0.456933081,0,0.035655778,0,0.073308091,0,0,0,0,0.064608586,0,0,0.064608586,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2001,0,0,0.093244379,3.663782099,4.223089868,3.479644235,9.67206384,15.7963297,14.91650488,18.32240246,14.81876297,14.87960082,14.45277046,8.866041432,7.93471316,4.951825408,5.783981506,3.061861442,2.399876817,3.499468079,3.972257811,2.479207675,2.336590699,1.425260583,2.065653768,4.734595745,1.396746946,1.399188402,0.366387024,0.733781045,0.93935921,0.348759105,4.53405209,0.14698709,0.23640825,1.063627304,0.533696962,0.017250709,0.050715456,0.354627724,0.063089026,0.357556676,0,0,0.480778583,0,0.309399861,0.104869236,0,0,0,0,0,0,0,0,0.406246739,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2002,0,0,0.574583872,2.358033183,6.045280204,8.848300924,10.41409477,10.5619889,15.17828845,15.48539115,12.51231695,26.57878525,7.966324595,15.53143862,11.24111271,7.711256158,5.891391436,4.703726435,3.293370698,3.298145904,2.826448735,3.269303117,2.757997872,2.46153516,1.526638469,1.522085246,2.493969343,0.619862448,0.838672737,0.542742165,2.584011437,0.430536836,0.737255567,0.490964013,1.022380592,0.682784364,0.2867428,0.066584986,0.217618787,0.052247663,0.392275183,0.092645554,0.067693266,0.065839554,0.018629469,0.184001416,2.481005364,0.056264428,0.023672081,0.041087998,0.060885795,0,0,0,0.012208292,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2003,0,0.177010584,1.668654031,2.82850723,5.825513039,8.903736436,14.20616129,17.62615845,16.97380083,17.5516669,11.8208476,14.6694451,11.24215793,8.513731375,8.35232172,4.546022714,3.461110133,2.743635679,1.751118678,1.805776434,1.61875231,2.247824974,1.00261233,1.400500159,0.83291348,0.704241304,0.426811955,0.398662097,0.544432719,1.001189526,0.697931432,1.05905315,0.171338356,0.283112792,0.28769359,0.142899807,0.284053642,0.04846522,0.140244888,0.132519021,0.028548017,0.229939686,0.068822058,1.436141497,0.035899547,0.019120744,0.032784944,0,0.032180335,0.065480577,0.069130808,0,0,0,0.003390723,0,0.052238467,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2004,0,0,0.109858686,1.265823064,2.98587513,7.179101187,13.85132891,11.59032026,17.051864,17.59483273,22.69098174,13.50651009,20.66310246,15.63430624,7.520076601,6.352703331,3.358942996,2.584436954,2.360193941,1.896278243,0.96976896,1.256151014,2.06160651,1.402508526,0.83469641,0.937662201,0.172834486,0.457159849,0.332333197,0.599599263,1.058035417,0.262870866,0.389130422,0.296615508,0.704749699,0.193428317,0.241002577,0.092549689,0,0.313873262,0.040330458,0.354984235,0,0.342048112,0.076165448,0,0,0,0,0.02409369,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
